gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.country,phone,picture.large,picture.medium,picture.thumbnail
female,Miss,Leah,Owens,2685,Central St,Berkeley,United States,(710)-237-7435,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg
female,Mrs,Arianna,Jacobs,5155,Lakeview St,Indianapolis,United States,(975)-354-5424,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg
male,Mr,Gabe,Sullivan,7792,W 6th St,Albuquerque,United States,(422)-245-2602,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg
female,Miss,Deanna,Castillo,1644,W Sherman Dr,Paterson,United States,(563)-043-8801,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg
male,Mr,Ron,Walters,5398,Saddle Dr,Frisco,United States,(293)-497-2303,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg
male,Mr,Stanley,Moreno,9929,Paddock Way,Frederick,United States,(288)-831-7835,https://randomuser.me/api/portraits/men/21.jpg,https://randomuser.me/api/portraits/med/men/21.jpg,https://randomuser.me/api/portraits/thumb/men/21.jpg
female,Miss,Leslie,Ramirez,1974,Bruce St,Midland,United States,(966)-708-1459,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg
male,Mr,Martin,Lynch,7056,Ranchview Dr,Fayetteville,United States,(597)-050-1846,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg
female,Ms,Jo,Franklin,7011,E Pecan St,Topeka,United States,(387)-903-0655,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg
male,Mr,Aaron,Jensen,5529,Marsh Ln,Fresno,United States,(418)-067-7774,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg
male,Mr,Micheal,Chambers,5843,Ash Dr,Farmers Branch,United States,(229)-817-5463,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg
female,Ms,Arianna,Franklin,6603,Oak Ridge Ln,Lafayette,United States,(866)-170-3646,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg
female,Miss,Harper,Sutton,5416,Bollinger Rd,Desoto,United States,(868)-333-8719,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg
female,Miss,Jo,Wagner,4562,Poplar Dr,Coppell,United States,(155)-988-2244,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg
male,Mr,Eric,Carter,7961,W Dallas St,Newport News,United States,(311)-436-3769,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg
male,Mr,Ron,Riley,3902,Eason Rd,Mckinney,United States,(011)-677-0909,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg
female,Mrs,Jacqueline,Mccoy,9891,Thornridge Cir,Cincinnati,United States,(066)-012-6298,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg
female,Miss,Leah,Wright,3028,Lovers Ln,Flint,United States,(576)-090-7870,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg
male,Mr,Alfred,Harrison,846,Stevens Creek Blvd,Fullerton,United States,(347)-486-2069,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg
